date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
21:56:02	0/0	---MC-	301	error ('Moved%20Permanently')	text/html	etag:8455989de959725859175de2efb8cf1f	http://gamedin.xyz/mkworldwide-inc	C:/Users/sunny/OneDrive/Desktop/GameDin%20GoDaddy/GameDin/gamedin.xyz/mkworldwide-inc.0.delayed	(from )
21:56:02	0/0	---MC-	301	error ('Moved%20Permanently')	text/html	etag:e02636d74fd740563b70f447359e0924	http://gamedin.xyz/	C:/Users/sunny/OneDrive/Desktop/GameDin%20GoDaddy/GameDin/gamedin.xyz/index.html	(from )
21:56:03	0/0	---MC-	301	error ('Moved%20Permanently')	text/html	etag:f84dd2eadf71d19ac07834f908eaa482	http://gamedin.xyz/robots.txt		(from )
21:56:03	167794/167794	---MCZ	200	added ('OK')	text/html	etag:8455989de959725859175de2efb8cf1f	https://gamedin.xyz/mkworldwide-inc	C:/Users/sunny/OneDrive/Desktop/GameDin%20GoDaddy/GameDin/gamedin.xyz/mkworldwide-inc.html	(from )
21:56:03	48/48	---MCZ	200	added ('OK')	text/plain	etag:f84dd2eadf71d19ac07834f908eaa482	https://gamedin.xyz/robots.txt		(from )
21:56:04	1295/1295	---M--	200	added ('OK')	image/jpeg	etag:2394068066	http://img1.wsimg.com/isteam/ip/c418dba7-dede-41a5-a33a-0343ddf2e879/favicon/a9db421e-587a-4712-88a6-629e6527b623/13971229-fdaa-4adf-9ace-46b388914f38.jpg/:/rs=w:16,h:16,m	C:/Users/sunny/OneDrive/Desktop/GameDin%20GoDaddy/GameDin/img1.wsimg.com/isteam/ip/c418dba7-dede-41a5-a33a-0343ddf2e879/favicon/a9db421e-587a-4712-88a6-629e6527b623/13971229-fdaa-4adf-9ace-46b388914f38.jpg/_/rs=w_16,h_16,m.jpg	(from https://gamedin.xyz/mkworldwide-inc)
21:56:04	1348/1348	---M--	200	added ('OK')	image/jpeg	etag:3707937875	http://img1.wsimg.com/isteam/ip/c418dba7-dede-41a5-a33a-0343ddf2e879/favicon/a9db421e-587a-4712-88a6-629e6527b623/13971229-fdaa-4adf-9ace-46b388914f38.jpg/:/rs=w:24,h:24,m	C:/Users/sunny/OneDrive/Desktop/GameDin%20GoDaddy/GameDin/img1.wsimg.com/isteam/ip/c418dba7-dede-41a5-a33a-0343ddf2e879/favicon/a9db421e-587a-4712-88a6-629e6527b623/13971229-fdaa-4adf-9ace-46b388914f38.jpg/_/rs=w_24,h_24,m.jpg	(from https://gamedin.xyz/mkworldwide-inc)
21:56:04	1563/1563	---M--	200	added ('OK')	image/jpeg	etag:1317586303	http://img1.wsimg.com/isteam/ip/c418dba7-dede-41a5-a33a-0343ddf2e879/favicon/a9db421e-587a-4712-88a6-629e6527b623/13971229-fdaa-4adf-9ace-46b388914f38.jpg/:/rs=w:32,h:32,m	C:/Users/sunny/OneDrive/Desktop/GameDin%20GoDaddy/GameDin/img1.wsimg.com/isteam/ip/c418dba7-dede-41a5-a33a-0343ddf2e879/favicon/a9db421e-587a-4712-88a6-629e6527b623/13971229-fdaa-4adf-9ace-46b388914f38.jpg/_/rs=w_32,h_32,m.jpg	(from https://gamedin.xyz/mkworldwide-inc)
21:56:04	1840/1840	---M--	200	added ('OK')	image/jpeg	etag:379110952	http://img1.wsimg.com/isteam/ip/c418dba7-dede-41a5-a33a-0343ddf2e879/favicon/a9db421e-587a-4712-88a6-629e6527b623/13971229-fdaa-4adf-9ace-46b388914f38.jpg/:/rs=w:48,h:48,m	C:/Users/sunny/OneDrive/Desktop/GameDin%20GoDaddy/GameDin/img1.wsimg.com/isteam/ip/c418dba7-dede-41a5-a33a-0343ddf2e879/favicon/a9db421e-587a-4712-88a6-629e6527b623/13971229-fdaa-4adf-9ace-46b388914f38.jpg/_/rs=w_48,h_48,m.jpg	(from https://gamedin.xyz/mkworldwide-inc)
21:56:05	2274/2274	---M--	200	added ('OK')	image/jpeg	etag:2889551061	http://img1.wsimg.com/isteam/ip/c418dba7-dede-41a5-a33a-0343ddf2e879/favicon/a9db421e-587a-4712-88a6-629e6527b623/13971229-fdaa-4adf-9ace-46b388914f38.jpg/:/rs=w:64,h:64,m	C:/Users/sunny/OneDrive/Desktop/GameDin%20GoDaddy/GameDin/img1.wsimg.com/isteam/ip/c418dba7-dede-41a5-a33a-0343ddf2e879/favicon/a9db421e-587a-4712-88a6-629e6527b623/13971229-fdaa-4adf-9ace-46b388914f38.jpg/_/rs=w_64,h_64,m.jpg	(from https://gamedin.xyz/mkworldwide-inc)
